title,imageUrl,rating,releaseDate,genre
12-and-Holding.html,https://www.imsdb.com/posters/12-and-Holding.jpg,N/A,May 2006,Drama
1492-Conquest-of-Paradise.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Drama"
15-Minutes.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Crime, Thriller"
12.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
12-Monkeys.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Sci-Fi, Thriller"
12-Years-a-Slave.html,https://www.imsdb.com/posters/12-Years-a-Slave.jpg,N/A,November 2013,Drama
127-Hours.html,https://www.imsdb.com/posters/127-Hours.jpg,N/A,November 2010,"Adventure, Drama, Thriller"
187.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
17-Again.html,https://www.imsdb.com/posters/17-Again.jpg,N/A,April 2009,"Comedy, Drama, Romance"
10-Things-I-Hate-About-You.html,http://www.imsdb.com/images/no-poster.gif,7,N/A,"Comedy, Romance"
2001-A-Space-Odyssey.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Sci-Fi"
20th-Century-Women.html,https://imsdb.com/posters/20th-Century-Women.jpg,N/A,October 2016,"Comedy, Drama"
28-Days-Later.html,https://www.imsdb.com/posters/28-Days-Later.jpg,N/A,June 2003,"Drama, Horror, Sci-Fi"
42.html,https://www.imsdb.com/posters/42.jpg,N/A,April 2013,Drama
25th-Hour.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Drama"
44-Inch-Chest.html,https://www.imsdb.com/posters/44-Inch-Chest.jpg,N/A,January 2010,"Crime, Drama"
48-Hrs..html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy, Thriller"
50-50.html,https://www.imsdb.com/posters/50-50.jpg,N/A,September 2011,"Comedy, Drama"
30-Minutes-or-Less.html,https://www.imsdb.com/posters/30-Minutes-or-Less.jpg,N/A,August 2011,"Action, Adventure, Comedy"
500-Days-of-Summer.html,https://www.imsdb.com/posters/500-Days-of-Summer.jpg,N/A,July 2009,"Comedy, Drama, Romance"
8MM.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Mystery, Thriller"
9.html,https://www.imsdb.com/posters/9.jpg,N/A,September 2009,"Animation, Adventure, Drama, Fantasy, Sci-Fi"
A-Quiet-Place.html,https://www.imsdb.com/posters/A-Quiet-Place.jpg,N/A,April 2018,"Drama, Horror, Sci-Fi"
A-Few-Good-Men.html,https://www.imsdb.com/posters/A-Few-Good-Men.jpg,N/A,December 1992,"Crime, Drama, Mystery, Thriller"
A-Serious-Man.html,https://www.imsdb.com/posters/A-Serious-Man.jpg,N/A,October 2009,Comedy
A-Most-Violent-Year.html,https://www.imsdb.com/posters/A-Most-Violent-Year.jpg,N/A,January 2015,"Action, Crime, Drama"
A-Prayer-Before-Dawn.html,https://www.imsdb.com/posters/A-Prayer-Before-Dawn.jpg,N/A,August 2018,"Crime, Drama"
A-Scanner-Darkly.html,https://www.imsdb.com/posters/A-Scanner-Darkly.jpg,N/A,July 2006,"Animation, Crime, Drama"
Above-the-Law.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Action
"Abyss,-The.html",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Adventure, Sci-Fi, Thriller"
Ace-Ventura-Pet-Detective.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
Adaptation.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama"
Absolute-Power.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Thriller, Crime, Drama"
"Addams-Family,-The.html","https://www.imsdb.com/posters/Addams-Family,-The.jpg",N/A,November 1991,"Comedy, Fantasy, Horror, Family"
After-School-Special.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
Affliction.html,http://www.imsdb.com/images/no-poster.gif,N/A,January 1999,Drama
"Adjustment-Bureau,-The.html","https://www.imsdb.com/posters/Adjustment-Bureau,-The.jpg",N/A,March 2011,"Romance, Sci-Fi, Thriller"
"Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Comedy, Romance, Sci-Fi"
After.Life.html,https://www.imsdb.com/posters/After.Life.jpg,N/A,April 2010,"Drama, Horror, Thriller"
Agnes-of-God.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Mystery"
Airplane.html,https://www.imsdb.com/posters/Airplane.jpg,N/A,July 1980,"Comedy, Romance"
Alien.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Sci-Fi, Thriller"
Airplane-2-The-Sequel.html,https://www.imsdb.com/posters/Airplane-2-The-Sequel.jpg,N/A,December 1982,"Comedy, Sci-Fi"
Aladdin.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Animation, Family, Musical, Fantasy, Comedy"
Air-Force-One.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Adventure, Drama, Thriller"
