title,imageUrl,rating,releaseDate,genre
12 and Holding,https://www.imsdb.com/posters/12-and-Holding.jpg,N/A,May 2006,Drama
187,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
12,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
1492: Conquest of Paradise,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Drama"
17 Again,https://www.imsdb.com/posters/17-Again.jpg,N/A,April 2009,"Comedy, Drama, Romance"
15 Minutes,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Crime, Thriller"
10 Things I Hate About You,http://www.imsdb.com/images/no-poster.gif,7,N/A,"Comedy, Romance"
2001: A Space Odyssey,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Sci-Fi"
12 Monkeys,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Sci-Fi, Thriller"
12 Years a Slave,https://www.imsdb.com/posters/12-Years-a-Slave.jpg,N/A,November 2013,Drama
20th Century Women,https://imsdb.com/posters/20th-Century-Women.jpg,N/A,October 2016,"Comedy, Drama"
2012,https://www.imsdb.com/posters/2012.jpg,N/A,November 2009,"Action, Adventure, Drama, Sci-Fi, Thriller"
28 Days Later,https://www.imsdb.com/posters/28-Days-Later.jpg,N/A,June 2003,"Drama, Horror, Sci-Fi"
30 Minutes or Less,https://www.imsdb.com/posters/30-Minutes-or-Less.jpg,N/A,August 2011,"Action, Adventure, Comedy"
25th Hour,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Drama"
48 Hrs.,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy, Thriller"
44 Inch Chest,https://www.imsdb.com/posters/44-Inch-Chest.jpg,N/A,January 2010,"Crime, Drama"
500 Days of Summer,https://www.imsdb.com/posters/500-Days-of-Summer.jpg,N/A,July 2009,"Comedy, Drama, Romance"
50-50,https://www.imsdb.com/posters/50-50.jpg,N/A,September 2011,"Comedy, Drama"
42,https://www.imsdb.com/posters/42.jpg,N/A,April 2013,Drama
8 Mile,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Musical"
A Most Violent Year,https://www.imsdb.com/posters/A-Most-Violent-Year.jpg,N/A,January 2015,"Action, Crime, Drama"
A.I.,http://www.imsdb.com/images/no-poster.gif,8,N/A,"Sci-Fi, Adventure, Drama"
8MM,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Mystery, Thriller"
9,https://www.imsdb.com/posters/9.jpg,N/A,September 2009,"Animation, Adventure, Drama, Fantasy, Sci-Fi"
A Serious Man,https://www.imsdb.com/posters/A-Serious-Man.jpg,N/A,October 2009,Comedy
A Quiet Place,https://www.imsdb.com/posters/A-Quiet-Place.jpg,N/A,April 2018,"Drama, Horror, Sci-Fi"
A Scanner Darkly,https://www.imsdb.com/posters/A-Scanner-Darkly.jpg,N/A,July 2006,"Animation, Crime, Drama"
