title,imageUrl,rating,releaseDate,genre
10 Things I Hate About You,http://www.imsdb.com/images/no-poster.gif,7,N/A,"Comedy, Romance"
12,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
12 and Holding,https://www.imsdb.com/posters/12-and-Holding.jpg,N/A,May 2006,Drama
12 Monkeys,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Sci-Fi, Thriller"
12 Years a Slave,https://www.imsdb.com/posters/12-Years-a-Slave.jpg,N/A,November 2013,Drama
127 Hours,https://www.imsdb.com/posters/127-Hours.jpg,N/A,November 2010,"Adventure, Drama, Thriller"
1492: Conquest of Paradise,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Drama"
15 Minutes,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Crime, Thriller"
17 Again,https://www.imsdb.com/posters/17-Again.jpg,N/A,April 2009,"Comedy, Drama, Romance"
187,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
2001: A Space Odyssey,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Sci-Fi"
2012,https://www.imsdb.com/posters/2012.jpg,N/A,November 2009,"Action, Adventure, Drama, Sci-Fi, Thriller"
20th Century Women,https://imsdb.com/posters/20th-Century-Women.jpg,N/A,October 2016,"Comedy, Drama"
25th Hour,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Drama"
28 Days Later,https://www.imsdb.com/posters/28-Days-Later.jpg,N/A,June 2003,"Drama, Horror, Sci-Fi"
30 Minutes or Less,https://www.imsdb.com/posters/30-Minutes-or-Less.jpg,N/A,August 2011,"Action, Adventure, Comedy"
42,https://www.imsdb.com/posters/42.jpg,N/A,April 2013,Drama
44 Inch Chest,https://www.imsdb.com/posters/44-Inch-Chest.jpg,N/A,January 2010,"Crime, Drama"
48 Hrs.,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy, Thriller"
50-50,https://www.imsdb.com/posters/50-50.jpg,N/A,September 2011,"Comedy, Drama"
500 Days of Summer,https://www.imsdb.com/posters/500-Days-of-Summer.jpg,N/A,July 2009,"Comedy, Drama, Romance"
8 Mile,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Musical"
8MM,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Mystery, Thriller"
9,https://www.imsdb.com/posters/9.jpg,N/A,September 2009,"Animation, Adventure, Drama, Fantasy, Sci-Fi"
A Few Good Men,https://www.imsdb.com/posters/A-Few-Good-Men.jpg,N/A,December 1992,"Crime, Drama, Mystery, Thriller"
A Most Violent Year,https://www.imsdb.com/posters/A-Most-Violent-Year.jpg,N/A,January 2015,"Action, Crime, Drama"
A Prayer Before Dawn,https://www.imsdb.com/posters/A-Prayer-Before-Dawn.jpg,N/A,August 2018,"Crime, Drama"
A Quiet Place,https://www.imsdb.com/posters/A-Quiet-Place.jpg,N/A,April 2018,"Drama, Horror, Sci-Fi"
A Scanner Darkly,https://www.imsdb.com/posters/A-Scanner-Darkly.jpg,N/A,July 2006,"Animation, Crime, Drama"
A Serious Man,https://www.imsdb.com/posters/A-Serious-Man.jpg,N/A,October 2009,Comedy
A.I.,http://www.imsdb.com/images/no-poster.gif,8,N/A,"Sci-Fi, Adventure, Drama"
Above the Law,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Action
Absolute Power,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Thriller, Crime, Drama"
"Abyss, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Adventure, Sci-Fi, Thriller"
Ace Ventura: Pet Detective,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
Adaptation,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama"
"Addams Family, The","https://www.imsdb.com/posters/Addams-Family,-The.jpg",N/A,November 1991,"Comedy, Fantasy, Horror, Family"
"Adjustment Bureau, The","https://www.imsdb.com/posters/Adjustment-Bureau,-The.jpg",N/A,March 2011,"Romance, Sci-Fi, Thriller"
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Comedy, Romance, Sci-Fi"
Affliction,http://www.imsdb.com/images/no-poster.gif,N/A,January 1999,Drama
After School Special,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
After.Life,https://www.imsdb.com/posters/After.Life.jpg,N/A,April 2010,"Drama, Horror, Thriller"
Agnes of God,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Mystery"
Air Force One,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Adventure, Drama, Thriller"
Airplane,https://www.imsdb.com/posters/Airplane.jpg,N/A,July 1980,"Comedy, Romance"
Airplane 2: The Sequel,https://www.imsdb.com/posters/Airplane-2-The-Sequel.jpg,N/A,December 1982,"Comedy, Sci-Fi"
Aladdin,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Animation, Family, Musical, Fantasy, Comedy"
Ali,https://www.imsdb.com/posters/Ali.jpg,N/A,December 2001,Drama
Alien,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Sci-Fi, Thriller"
Alien 3,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Drama, Horror, Sci-Fi, Thriller"
Alien Nation,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Drama, Sci-Fi"
Alien vs. Predator,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Sci-Fi, Thriller"
Alien: Resurrection,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Sci-Fi, Thriller"
Aliens,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Sci-Fi, Thriller"
All About Eve,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
All About Steve,https://www.imsdb.com/posters/All-About-Steve.jpg,N/A,September 2009,Comedy
All the King's Men,https://www.imsdb.com/posters/All-the-King's-Men.jpg,N/A,November 1949,Drama
All the President's Men,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Thriller"
Almost Famous,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Romance"
Alone in the Dark,https://www.imsdb.com/posters/Alone-in-the-Dark.jpg,N/A,January 2005,"Action, Horror, Thriller"
Amadeus,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
Amelia,https://www.imsdb.com/posters/Amelia.jpg,N/A,October 2009,Drama
American Beauty,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
American Gangster,https://www.imsdb.com/posters/American-Gangster.jpg,8,November 2007,"Crime, Drama"
American Graffiti,http://www.imsdb.com/images/no-poster.gif,N/A,August 1973,"Comedy, Drama"
American History X,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Drama, Thriller"
American Hustle,https://www.imsdb.com/posters/American-Hustle.jpg,N/A,December 2013,"Crime, Drama"
American Madness,https://www.imsdb.com/posters/American-Madness.jpg,N/A,August 1932,Drama
American Milkshake,https://www.imsdb.com/posters/American-Milkshake.jpg,N/A,January 2013,Comedy
American Outlaws,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy, Western"
American Pie,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
"American President, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Romance"
American Psycho,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Horror, Thriller"
American Shaolin: King of Kickboxers II,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Action
American Sniper,https://www.imsdb.com/posters/American-Sniper.jpg,N/A,January 2015,"Action, Drama"
American Splendor,http://www.imsdb.com/images/no-poster.gif,N/A,September 2003,"Comedy, Drama"
American Werewolf in London,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Horror, Romance"
"American, The","https://www.imsdb.com/posters/American,-The.jpg",N/A,September 2010,"Crime, Drama, Thriller"
"Amityville Asylum, The","https://www.imsdb.com/posters/Amityville-Asylum,-The.jpg",N/A,January 2014,Horror
Amour,https://www.imsdb.com/posters/Amour.jpg,N/A,December 2012,"Drama, Romance"
An Education,https://www.imsdb.com/posters/An-Education.jpg,N/A,October 2009,Drama
Analyze That,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Crime"
Analyze This,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Crime"
Anastasia,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Family, Animation, Musical"
Angel Eyes,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Romance"
Angels,http://www.imsdb.com,N/A,:,
Anna Karenina,https://www.imsdb.com/posters/Anna-Karenina.jpg,N/A,November 2012,Drama
Annie Hall,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Romance"
"Anniversary Party, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
Anonymous,https://www.imsdb.com/posters/Anonymous.jpg,N/A,October 2011,"Drama, Thriller"
Antitrust,https://www.imsdb.com/posters/Antitrust.jpg,N/A,January 2001,"Thriller, Crime, Drama"
Antz,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Animation, Comedy, Fantasy"
"Apartment, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
Apocalypse Now,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Drama, War"
Apollo 13,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Adventure"
April Fool's Day,https://www.imsdb.com/posters/April-Fool's-Day.jpg,N/A,March 1986,"Comedy, Horror, Mystery"
Apt Pupil,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Thriller"
Arbitrage,https://www.imsdb.com/posters/Arbitrage.jpg,N/A,September 2012,"Drama, Thriller"
Arcade,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Sci-Fi
Arctic Blue,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Thriller"
Argo,https://www.imsdb.com/posters/Argo.jpg,8,October 2012,"Drama, Thriller"
Armageddon,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Sci-Fi, Thriller"
Army of Darkness,http://www.imsdb.com/images/no-poster.gif,8,N/A,"Adventure, Fantasy, Action, Comedy, Horror"
Arsenic and Old Lace,https://www.imsdb.com/posters/Arsenic-and-Old-Lace.jpg,N/A,September 1944,"Comedy, Crime"
Arthur,https://www.imsdb.com/posters/Arthur.jpg,N/A,April 2011,Comedy
"Artist, The","https://www.imsdb.com/posters/Artist,-The.jpg",8,January 2012,"Romance, Comedy, Drama"
As Good As It Gets,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Romance"
Assassins,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Thriller"
"Assignment, The","https://www.imsdb.com/posters/Assignment,-The.jpg",N/A,September 1997,Thriller
At First Sight,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
August: Osage County,https://www.imsdb.com/posters/August-Osage-County.jpg,N/A,January 2014,Drama
Austin Powers - International Man of Mystery,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy"
Austin Powers - The Spy Who Shagged Me,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy"
Authors Anonymous,https://www.imsdb.com/posters/Authors-Anonymous.jpg,N/A,March 2014,Comedy
Autumn in New York,https://www.imsdb.com/posters/Autumn-in-New-York.jpg,N/A,August 2000,"Romance, Drama"
Avatar,https://www.imsdb.com/posters/Avatar.jpg,N/A,December 2009,"Action, Adventure, Sci-Fi"
"Avengers, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Adventure"
